Name;ID;Phone;Lastname;Email;ChatId;Friends
Semen;0;8988722211;Trots;seess@mial.sd;0;0
Valera;1;791222122;Pavlukov;asasss@dat.com;1;0
Vladimir;3;6545454545;Flamenko;sadasd@kol.kovo;2;0
Kostya;2;5555555555;Sokolov;das@mail.ru;3;0
Ivan;4;4444444444;Petrovich;asd@mail.ry;4;0
Misha;5;3333333333;Sadukov;adsasdsadl@mail.com;;0
Nikolay;6;2222222222;Bogdanov;asddsa@gmail.com;21;;
Sergey;7;1111111111;NAME;EMAIL;;0
Alexander;8;0000000000;Goncharova;alexandr@yandex.ru;;;0
Oleg;9;9999999999;Yanakiev;oleg@mail.ru;1;1
Dmitrii;10;8888888888;Tsvetkov;dmitriii@mail;;1
Roman;11;7777777777;Shchelkun;roman@mail.ru;2;12
Andrey;12;6666666666;Lisitsyn;andrei@mail.ru;3;1
Denis;13;5555555555;Zheleva;deniss@mail.ru;4;1
Valera;1;791222122;Pavlukov;asasss@dat.com;1;0
Vladimir;3;6545454545;Flamenko;sadasd@kol.kovo;2;0
Kostya;2;5555555555;Sokolov;das@mail.ru;3;0
Ivan;4;4444444444;Petrovich;asd@mail.ry;4;0
Misha;5;3333333333;Sadukov;adsasdsadl@mail.com;;0
Nikolay;6;2222222222;Bogdanov;asddsa@gmail.com;21;;
Sergey;7;1111111111;NAME;EMAIL;;0
Alexander;8;0000000000;Goncharova;alexandr@yandex.ru;;;0
Oleg;9;9999999999;Yanakiev;oleg@mail.ru;1;1
Dmitrii;10;8888888888;Tsvetkov;dmitriii@mail;;1
Roman;11;7777777777;Shchelkun;roman@mail.ru;2;12
Andrey;12;6666666666;Lisitsyn;andrei@mail.ru;3;1
Denis;13;5555555555;Zheleva;deniss@mail.ru;4;1
Valera;1;791222122;Pavlukov;asasss@dat.com;1;0
Vladimir;3;6545454545;Flamenko;sadasd@kol.kovo;2;0
Kostya;2;5555555555;Sokolov;das@mail.ru;3;0
Ivan;4;4444444444;Petrovich;asd@mail.ry;4;0
Misha;5;3333333333;Sadukov;adsasdsadl@mail.com;;0
Nikolay;6;2222222222;Bogdanov;asddsa@gmail.com;21;;
Sergey;7;1111111111;NAME;EMAIL;;0
Alexander;8;0000000000;Goncharova;alexandr@yandex.ru;;;0
Oleg;9;9999999999;Yanakiev;oleg@mail.ru;1;1
Dmitrii;10;8888888888;Tsvetkov;dmitriii@mail;;1
Roman;11;7777777777;Shchelkun;roman@mail.ru;2;12
Andrey;12;6666666666;Lisitsyn;andrei@mail.ru;3;1
Denis;13;5555555555;Zheleva;deniss@mail.ru;4;1
Valera;1;791222122;Pavlukov;asasss@dat.com;1;0
Vladimir;3;6545454545;Flamenko;sadasd@kol.kovo;2;0
Kostya;2;5555555555;Sokolov;das@mail.ru;3;0
Ivan;4;4444444444;Petrovich;asd@mail.ry;4;0
Misha;5;3333333333;Sadukov;adsasdsadl@mail.com;;0
Nikolay;6;2222222222;Bogdanov;asddsa@gmail.com;21;;
Sergey;7;1111111111;NAME;EMAIL;;0
Alexander;8;0000000000;Goncharova;alexandr@yandex.ru;;;0
Oleg;9;9999999999;Yanakiev;oleg@mail.ru;1;1
Dmitrii;10;8888888888;Tsvetkov;dmitriii@mail;;1
Roman;11;7777777777;Shchelkun;roman@mail.ru;2;12
Andrey;12;6666666666;Lisitsyn;andrei@mail.ru;3;1
Denis;13;5555555555;Zheleva;deniss@mail.ru;4;1
Valera;1;791222122;Pavlukov;asasss@dat.com;1;0
Vladimir;3;6545454545;Flamenko;sadasd@kol.kovo;2;0
Kostya;2;5555555555;Sokolov;das@mail.ru;3;0
Ivan;4;4444444444;Petrovich;asd@mail.ry;4;0
Misha;5;3333333333;Sadukov;adsasdsadl@mail.com;;0
Nikolay;6;2222222222;Bogdanov;asddsa@gmail.com;21;;
Sergey;7;1111111111;NAME;EMAIL;;0
Alexander;8;0000000000;Goncharova;alexandr@yandex.ru;;;0
Oleg;9;9999999999;Yanakiev;oleg@mail.ru;1;1
Dmitrii;10;8888888888;Tsvetkov;dmitriii@mail;;1
Roman;11;7777777777;Shchelkun;roman@mail.ru;2;12
Andrey;12;6666666666;Lisitsyn;andrei@mail.ru;3;1
Denis;13;5555555555;Zheleva;deniss@mail.ru;4;1

